xValue    Pressure    Density    Velocity
-0.0875   0.477558   0.588394   0.592486
-0.085   0.471655   0.58315   0.601935
-0.0825   0.465829   0.577956   0.611361
-0.08   0.460082   0.572813   0.62076
-0.0775   0.454413   0.567722   0.63013
-0.075   0.448823   0.562685   0.639467
-0.0725   0.443313   0.557702   0.64877
-0.07   0.437884   0.552774   0.658033
-0.0675   0.432537   0.547903   0.667254
-0.065   0.427273   0.54309   0.676429
-0.0625   0.422092   0.538338   0.685554
-0.06   0.416996   0.533646   0.694623
-0.0575   0.411986   0.529017   0.703633
-0.055   0.407063   0.524454   0.712578
-0.0525   0.40223   0.519956   0.721453
-0.05   0.397486   0.515528   0.730252
-0.0475   0.392835   0.511171   0.738968
-0.045   0.388278   0.506887   0.747595
-0.0425   0.383816   0.502679   0.756125
-0.04   0.379452   0.498549   0.764551
-0.0375   0.375189   0.494501   0.772864
-0.035   0.371028   0.490538   0.781056
-0.0325   0.366973   0.486662   0.789118
-0.03   0.363025   0.482876   0.797039
-0.0275   0.359188   0.479186   0.80481
-0.025   0.355464   0.475593   0.81242
-0.0225   0.351857   0.472102   0.819857
-0.02   0.34837   0.468716   0.827111
-0.0175   0.345006   0.46544   0.834168
-0.015   0.341767   0.462277   0.841018
-0.0125   0.338658   0.459232   0.847647
-0.01   0.335681   0.456307   0.854044
-0.0075   0.332839   0.453507   0.860197
-0.005   0.330135   0.450835   0.866094
-0.0025   0.327571   0.448295   0.871725
4.10262e-016   0.325148   0.445888   0.877079
0.0025   0.32287   0.443618   0.882148
0.005   0.320736   0.441486   0.886923
0.0075   0.318746   0.439492   0.891399
0.01   0.316901   0.437638   0.895572
0.0125   0.3152   0.435922   0.89944
0.015   0.313639   0.434343   0.903004
0.0175   0.312217   0.432898   0.906265
0.02   0.310929   0.431585   0.909229
0.0225   0.309771   0.430399   0.911903
0.025   0.308737   0.429334   0.914299
0.0275   0.307821   0.428385   0.916426
0.03   0.307016   0.427544   0.918301
0.0325   0.306314   0.426805   0.919939
0.035   0.305708   0.426159   0.921357
0.0375   0.305189   0.425599   0.922573
0.04   0.304749   0.425115   0.923605
0.0425   0.304379   0.4247   0.924474
0.045   0.304072   0.424346   0.925196
0.0475   0.303819   0.424044   0.92579
0.05   0.303614   0.423787   0.926273
0.0525   0.303449   0.423569   0.926661
0.055   0.303319   0.423382   0.926969
0.0575   0.303217   0.42322   0.927209
0.06   0.303139   0.42308   0.927393
0.0625   0.30308   0.422956   0.927532
0.065   0.303037   0.422843   0.927634
0.0675   0.303006   0.422739   0.927707
0.07   0.302985   0.42264   0.927756
0.0725   0.302972   0.422543   0.927788
0.075   0.302964   0.422446   0.927807
0.0775   0.30296   0.422347   0.927815
0.08   0.30296   0.422242   0.927815
0.0825   0.302962   0.422131   0.927811
0.085   0.302966   0.422011   0.927802
0.0875   0.30297   0.42188   0.927791
0.09   0.302976   0.421735   0.927778
0.0925   0.302981   0.421573   0.927765
0.095   0.302987   0.421391   0.927751
0.0975   0.302993   0.421186   0.927737
0.1   0.302999   0.420952   0.927723
0.1025   0.303005   0.420685   0.927709
0.105   0.30301   0.42038   0.927696
0.1075   0.303016   0.420029   0.927684
0.11   0.303021   0.419626   0.927672
0.1125   0.303026   0.419161   0.92766
0.115   0.30303   0.418626   0.927649
0.1175   0.303035   0.418009   0.927639
0.12   0.303039   0.4173   0.927629
0.1225   0.303043   0.416486   0.92762
0.125   0.303047   0.415554   0.927611
0.1275   0.30305   0.414489   0.927602
0.13   0.303054   0.413277   0.927594
0.1325   0.303057   0.411904   0.927587
0.135   0.30306   0.410354   0.92758
0.1375   0.303063   0.408612   0.927573
0.14   0.303066   0.406665   0.927566
0.1425   0.303068   0.4045   0.92756
0.145   0.303071   0.402105   0.927555
0.1475   0.303073   0.399472   0.927549
0.15   0.303075   0.396593   0.927544
0.1525   0.303077   0.393464   0.927539
0.155   0.303079   0.390084   0.927535
0.1575   0.303081   0.386456   0.92753
0.16   0.303083   0.382587   0.927526
0.1625   0.303085   0.378486   0.927522
0.165   0.303086   0.37417   0.927518
0.1675   0.303088   0.369655   0.927515
0.17   0.303089   0.364965   0.927512
0.1725   0.303091   0.360125   0.927509
0.175   0.303092   0.355165   0.927506
0.1775   0.303093   0.350115   0.927503
0.18   0.303095   0.345009   0.9275
0.1825   0.303096   0.339881   0.927498
0.185   0.303097   0.334769   0.927495
0.1875   0.303098   0.329705   0.927493
0.19   0.303099   0.324725   0.927491
0.1925   0.3031   0.319861   0.927489
0.195   0.303101   0.315144   0.927488
0.1975   0.303102   0.310602   0.927486
0.2   0.303102   0.306257   0.927484
0.2025   0.303103   0.302131   0.927483
0.205   0.303104   0.298241   0.927482
0.2075   0.303105   0.294599   0.92748
0.21   0.303106   0.291213   0.927479
0.2125   0.303106   0.288087   0.927478
0.215   0.303107   0.285222   0.927478
